,Precision,Recall
1.0,0.00045691499892823114,0.1698309523809524
2.0,0.0006847764408602911,0.2523392857142857
5.0,0.0010310091020149083,0.3769817857142857
10.0,0.0012930457719519096,0.47154678571428577
20.0,0.0015683704341612722,0.567812619047619
50.0,0.0019228931518324693,0.694857619047619
100.0,0.002164521519229389,0.7790335714285714
200.0,0.0023496856026452885,0.8434310714285713
300.0,0.0024327100607755385,0.8711577380952381
400.0,0.0024809732344131504,0.8875755158730159
